softwareComponent,applicationComponent,objectType,objectName,classification,comment,successorObjectType,successorObjectName
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CX_SB_GENDPC_CMN,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CX_SBCM_EXCEPTION,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CX_SBDM_NODEEXCEPTION,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CX_SBOD_INPUT_ERROR,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SB,CLAS,/IWBEP/CX_SBUI_EXCEPTION,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,CLAS,/IWBEP/CX_TEA_BUSINESS,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CX_V4_ANNOTATION,TI3,,,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CX_V4_MED,TI3,,,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CX_V4_NOT_IMPLEMENTED,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CX_V4_REGISTRY,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CX_V4_RUNTIME,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CX_V4_SAMPLE_BAS,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-GW-COR,CLAS,/IWBEP/CX_V4_TEA,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_ANA_ADP_EQ_CONSTANTS,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_ANA_BEC_BW_CONSTANT,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_ANA_GSR_COMMON,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_ANA_GSR_CONTROLLER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_ANA_GSR_METADATA,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_ANA_GSR_NAME_MAP,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_ANA_GSR_OLAP_CATALOG,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_ANA_GSR_RUNTIME,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_ANA_GSR_VALUE_HELP,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_ANA_ODATA_MED_SRCINF,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_ANA_ODATA_TYPES,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_BW_TYPES,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE,INTF,/IWBEP/IF_DESTIN_FINDER,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_DST_CONST,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
SAP_BASIS,OPU-BSE-SDE,INTF,/IWBEP/IF_EPM_BP_UTIL,NA,"Must not be used (obsolete, internal usage only, possible upgrade issues,…)",,
